dataset,model,train_r2,test_r2
564_fried,"Lasso(alpha=0.01, max_iter=10000)",0.7296584551917142,0.7136700609110094
564_fried,"Lasso(alpha=0.05, max_iter=10000)",0.7212489160241746,0.7193800584322676
564_fried,DecisionTreeRegressor(max_depth=2),0.4520728868108169,0.3856838925596804
564_fried,DecisionTreeRegressor(max_depth=6),0.9091641447270729,0.5480835853787013
banana,LinearRegression(),0.0018788382508728,0.0043061966973142
banana,"Lasso(alpha=0.01, max_iter=10000)",0.0017035904719221,0.003037177538479
banana,"Lasso(alpha=0.05, max_iter=10000)",0.0,-0.001183115949471
banana,DecisionTreeRegressor(max_depth=2),0.3034524104240427,0.2051786896006319
banana,DecisionTreeRegressor(max_depth=6),0.7970144096904661,0.4346387128912298
titanic,LinearRegression(),0.2705240374308103,0.2078180087150213
titanic,"Lasso(alpha=0.01, max_iter=10000)",0.2702734500435999,0.2079832064647213
titanic,"Lasso(alpha=0.05, max_iter=10000)",0.2659184062106027,0.2079550580276777
titanic,DecisionTreeRegressor(max_depth=2),0.2996678403928368,0.2425034211810034
titanic,DecisionTreeRegressor(max_depth=6),0.3451565655149056,0.2676786152127964
1193_BNG_lowbwt,QG-r1-bic-7,0.5437964043738504,0.5380176743635301
1196_BNG_pharynx,QG-r1-bic-7,0.5506719218943175,0.3651587820137685
1199_BNG_echoMonths,QG-r1-bic-7,0.3790325601794492,0.3963423278346297
1201_BNG_breastTumor,QG-r1-bic-7,0.1089220943245308,0.0319348104335456
1203_BNG_pwLinear,QG-r1-bic-7,0.6126814214022968,0.5437707191388641
1595_poker,QG-r1-bic-7,0.0241650767547786,-0.0302106991377688
215_2dplanes,QG-r1-bic-7,0.8088377814156371,0.7765819262341735
218_house_8L,QG-r1-bic-7,0.5895665650223503,0.3549385237817261
225_puma8NH,QG-r1-bic-7,0.695728159627186,0.5828920199258578
344_mv,QG-r1-bic-7,0.9940645746471936,0.9934537637887478
529_pollen,QG-r1-bic-7,0.7567078179765254,0.7891236210955455
537_houses,QG-r1-bic-7,0.6774758709119661,0.5481969649528416
564_fried,QG-r1-bic-7,0.8325841767375244,0.802756526656186
banana,QG-r1-bic-7,0.5409910757904407,0.4939736189166536
titanic,QG-r1-bic-7,0.3146661255681119,0.2517277814016312
1193_BNG_lowbwt,DecisionTreeRegressor(max_depth=1),0.5437964383556344,0.5380172044905052
1193_BNG_lowbwt,DecisionTreeRegressor(max_depth=4),0.6713406591463279,0.4714042144663476
1193_BNG_lowbwt,RandomForestRegressor(),0.9290429935870304,0.5261705832059222
1193_BNG_lowbwt,GradientBoostingRegressor(),0.8776012551953734,0.4889012556443233
1196_BNG_pharynx,DecisionTreeRegressor(max_depth=1),0.4720664071266129,0.3686180462249209
1196_BNG_pharynx,DecisionTreeRegressor(max_depth=4),0.6796872775443243,0.2351393204491473
1196_BNG_pharynx,RandomForestRegressor(),0.9236155971310184,0.3816402479692448
1196_BNG_pharynx,GradientBoostingRegressor(),0.8672058258168989,0.3780395811127141
1199_BNG_echoMonths,DecisionTreeRegressor(max_depth=1),0.379032989511684,0.3963428986071807
