dataset,model,randomseed,train_r2,test_r2,json
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",2,0.3831090054126047,0.266243350523632,
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),2,0.8965258533427692,0.2866201404394064,
1191_BNG_pbc,GradientBoostingRegressor(n_estimators=200),2,0.9681237706447884,0.1784918482091487,
1191_BNG_pbc,LinearRegression(),3,0.339278178983417,0.2731461419167686,
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",3,0.3392780297357416,0.2732194378817464,
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),3,0.8919973601371332,0.2813011179448264,
1191_BNG_pbc,GradientBoostingRegressor(n_estimators=200),3,0.9733099030952608,0.1645470854823335,
1191_BNG_pbc,LinearRegression(),4,0.3976232134799015,0.2552410778636611,
1191_BNG_pbc,"Lasso(alpha=0.05, max_iter=100000)",4,0.3976230898754563,0.2553350895752083,
1191_BNG_pbc,RandomForestRegressor(n_estimators=200),4,0.8900479454396334,0.2449040680155643,
1191_BNG_pbc,GradientBoostingRegressor(n_estimators=200),4,0.9497406069725272,0.1732952453611236,
1193_BNG_lowbwt,LinearRegression(),0,0.6014266549726605,0.5574032377108615,
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=100000)",0,0.6014265088874011,0.5574263718707975,
1193_BNG_lowbwt,RandomForestRegressor(n_estimators=200),0,0.9346074805093778,0.5276512678380341,
1193_BNG_lowbwt,GradientBoostingRegressor(n_estimators=200),0,0.9458641306501776,0.4475360284586914,
1193_BNG_lowbwt,LinearRegression(),1,0.5883842204456022,0.567732664787514,
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=100000)",1,0.588384088838575,0.5677720201115031,
1193_BNG_lowbwt,RandomForestRegressor(n_estimators=200),1,0.9350813166403612,0.5281646311892365,
1193_BNG_lowbwt,GradientBoostingRegressor(n_estimators=200),1,0.9479055464233468,0.4807758337798897,
1193_BNG_lowbwt,LinearRegression(),2,0.5941609179602574,0.5652700434794427,
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=100000)",2,0.5941607583542157,0.5653221871456524,
1193_BNG_lowbwt,RandomForestRegressor(n_estimators=200),2,0.9256330565397384,0.5371625803269432,
1193_BNG_lowbwt,GradientBoostingRegressor(n_estimators=200),2,0.9348656921536096,0.4632566911563704,
1193_BNG_lowbwt,LinearRegression(),3,0.6257595644943654,0.5338130196665896,
1193_BNG_lowbwt,"Lasso(alpha=0.05, max_iter=100000)",3,0.6257593958029919,0.5338970419083369,
1193_BNG_lowbwt,RandomForestRegressor(n_estimators=200),3,0.9416905970152988,0.494988493195463,
